time,Mestput_2,2dagen,3dagen,EVHI
2021-08-28 00:00:00.000,49.87,,,737.31
2021-08-29 00:00:00.000,26.15,76.02,,746.06
2021-08-30 00:00:00.000,47.54,73.69,123.56,802.78
2021-08-31 00:00:00.000,35.65,83.19,109.34,834.77
2021-09-01 00:00:00.000,36.64,72.29,119.83,755.78
2021-09-02 00:00:00.000,33.76,70.4,106.05,742.39
2021-09-03 00:00:00.000,31.63,65.39,102.03,852.95
2021-09-04 00:00:00.000,28.32,59.95,93.71,764.22
2021-09-05 00:00:00.000,19.9,48.22,79.85,636.64
2021-09-06 00:00:00.000,23.05,42.95,71.27,698.5
2021-09-07 00:00:00.000,25.65,48.7,68.6,685.55
2021-09-08 00:00:00.000,22.24,47.89,70.94,650.33
2021-09-09 00:00:00.000,32.38,54.62,80.27,679.69
2021-09-10 00:00:00.000,27.08,59.46,81.7,682.97
2021-09-11 00:00:00.000,42.56,69.64,102.02,786.31
2021-09-12 00:00:00.000,43.47,86.03,113.11,727.66
2021-09-13 00:00:00.000,33.34,76.81,119.37,796.22
2021-09-14 00:00:00.000,21.35,54.69,98.16,718.06
2021-09-15 00:00:00.000,62.91,84.26,117.6,768.23
2021-09-16 00:00:00.000,19.7,82.61,103.96,715.81
2021-09-17 00:00:00.000,24.07,43.77,106.68,675.89
2021-09-18 00:00:00.000,34.71,58.78,78.48,678.69
2021-09-19 00:00:00.000,37.79,72.5,96.57,788.98
2021-09-20 00:00:00.000,15.98,53.77,88.48,691.585
2021-09-21 00:00:00.000,23.38,39.36,77.15,594.19
2021-09-22 00:00:00.000,39.1,62.48,78.46,723.62
2021-09-23 00:00:00.000,38.63,77.73,101.11,778.81
2021-09-24 00:00:00.000,34.44,73.07,112.17,734.42
2021-09-25 00:00:00.000,36,70.44,109.07,793.3
2021-09-26 00:00:00.000,44.21,80.21,114.65,747.42
2021-09-27 00:00:00.000,38.57,82.78,118.78,670.09
2021-09-28 00:00:00.000,25.13,63.7,107.91,816.3
2021-09-29 00:00:00.000,33.42,58.55,97.12,604.88
2021-09-30 00:00:00.000,22.57,55.99,81.12,732.17
2021-10-01 00:00:00.000,21.2,43.77,77.19,634.62
2021-10-02 00:00:00.000,40.31,61.51,84.08,677.77
2021-10-03 00:00:00.000,24.82,65.13,86.33,789.75
2021-10-04 00:00:00.000,27.81,52.63,92.94,643
2021-10-05 00:00:00.000,28.7,56.51,81.33,675.34
2021-10-06 00:00:00.000,61.99,90.69,118.5,749.2
2021-10-07 00:00:00.000,37.93,99.92,128.62,689.825
2021-10-08 00:00:00.000,31.47,69.4,131.39,660.1375
2021-10-09 00:00:00.000,35.74,67.21,105.14,630.45
2021-10-10 00:00:00.000,36.9,72.64,104.11,792.97
2021-10-11 00:00:00.000,23.5,60.4,96.14,695.55
2021-10-12 00:00:00.000,19.54,43.04,79.94,690.81
2021-10-13 00:00:00.000,10.94,30.48,53.98,575.86
2021-10-14 00:00:00.000,35.36,46.3,65.84,587.92
2021-10-15 00:00:00.000,30.9,66.26,77.2,620.11
2021-10-16 00:00:00.000,43.4,74.3,109.66,741.53
2021-10-17 00:00:00.000,52.29,95.69,126.59,732
2021-10-18 00:00:00.000,46.55,98.84,142.24,751.12
2021-10-19 00:00:00.000,40.84,87.39,139.68,804.91
2021-10-20 00:00:00.000,39.46,80.3,126.85,621.5
2021-10-21 00:00:00.000,44.21,83.67,124.51,761.36
2021-10-22 00:00:00.000,31.94,76.15,115.61,799.62
2021-10-23 00:00:00.000,43.97,75.91,120.12,720.81
2021-10-24 00:00:00.000,48.59,92.56,124.5,839.72
2021-10-25 00:00:00.000,59.65,108.24,152.21,837.2
2021-10-26 00:00:00.000,59.54,119.19,167.78,776.39
2021-10-27 00:00:00.000,40.71,100.25,159.9,901.61
2021-10-28 00:00:00.000,31.95,72.66,132.2,854.14
2021-10-29 00:00:00.000,42.86,74.81,115.52,832.38
2021-10-30 00:00:00.000,16.68,59.54,91.49,810.39
2021-10-31 00:00:00.000,42.89,59.57,102.43,761.5
2021-11-01 00:00:00.000,16.88,59.77,76.45,748.22
2021-11-02 00:00:00.000,19.53,36.41,79.3,679.33
2021-11-03 00:00:00.000,60.8,80.33,97.21,760.67
2021-11-04 00:00:00.000,46.81,107.61,127.14,784.335
2021-11-05 00:00:00.000,51.42,98.23,159.03,808
2021-11-06 00:00:00.000,52.62,104.04,150.85,800.27
2021-11-07 00:00:00.000,47.3,99.92,151.34,815.2
2021-11-08 00:00:00.000,40.35,87.65,140.27,817.27
2021-11-09 00:00:00.000,36.2,76.55,123.85,809.25
2021-11-10 00:00:00.000,55.13,91.33,131.68,815.27
2021-11-11 00:00:00.000,37.89,93.02,129.22,827.62
2021-11-12 00:00:00.000,35.37,73.26,128.39,807.09
2021-11-13 00:00:00.000,34.99,70.36,108.25,801.5
2021-11-14 00:00:00.000,35.48,70.47,105.84,799.52
2021-11-15 00:00:00.000,41.83,77.31,112.3,790.16
2021-11-16 00:00:00.000,41.96,83.79,119.27,798.7
2021-11-17 00:00:00.000,43.91,85.87,127.7,803.59
2021-11-18 00:00:00.000,43.16,87.07,129.03,808.58
2021-11-19 00:00:00.000,35.38,78.54,122.45,818.36
2021-11-20 00:00:00.000,37.34,72.72,115.88,808.59
2021-11-21 00:00:00.000,15.59,52.93,88.31,797.19
2021-11-22 00:00:00.000,44.69,60.28,97.62,754.88
2021-11-23 00:00:00.000,46.22,90.91,106.5,789.12
2021-11-24 00:00:00.000,44.82,91.04,135.73,805.77
2021-11-25 00:00:00.000,40.11,84.93,131.15,811.2
2021-11-26 00:00:00.000,30.65,70.76,115.58,804.08
2021-11-27 00:00:00.000,47.78,78.43,118.54,799.73
2021-11-28 00:00:00.000,40.91,88.69,119.34,805.02
2021-11-29 00:00:00.000,57.73,98.64,146.42,803.12
2021-11-30 00:00:00.000,30.98,88.71,129.62,804.36
2021-12-01 00:00:00.000,42.86,73.84,131.57,622.16
2021-12-02 00:00:00.000,39.22,82.08,113.06,837.23
2021-12-03 00:00:00.000,39.96,79.18,122.04,784.45
2021-12-04 00:00:00.000,38.93,78.89,118.11,813.55
2021-12-05 00:00:00.000,39.89,78.82,118.78,786.83
2021-12-06 00:00:00.000,42.56,82.45,121.38,322.39
2021-12-07 00:00:00.000,41.66,84.22,124.11,861.39
2021-12-08 00:00:00.000,42.62,84.28,126.84,771.7
2021-12-09 00:00:00.000,46.75,89.37,131.03,812.53
2021-12-10 00:00:00.000,45.7,92.45,135.07,792.86
2021-12-11 00:00:00.000,47.9,93.6,140.35,792.89
2021-12-12 00:00:00.000,48.49,96.39,142.09,875.45
2021-12-13 00:00:00.000,45.92,94.41,142.31,860.02
2021-12-14 00:00:00.000,34.7,80.62,129.11,835.48
2021-12-15 00:00:00.000,52.94,87.64,133.56,813.72
2021-12-16 00:00:00.000,46.8,99.74,134.44,789.44
2021-12-17 00:00:00.000,49.49,96.29,149.23,819.33
2021-12-18 00:00:00.000,38.58,88.07,134.87,822.84
2021-12-19 00:00:00.000,51.27,89.85,139.34,530.92
2021-12-20 00:00:00.000,45.65,96.92,135.5,550.14
2021-12-21 00:00:00.000,39.05,84.7,135.97,842.97
2021-12-22 00:00:00.000,22.58,61.63,107.28,757.77
2021-12-23 00:00:00.000,53.33,75.91,114.96,795.12
2021-12-24 00:00:00.000,19.37,72.7,95.28,723.69
2021-12-25 00:00:00.000,37.51,56.88,110.21,707.5
2021-12-26 00:00:00.000,31.64,69.15,88.52,766.94
2021-12-27 00:00:00.000,18.35,49.99,87.5,635.31
2021-12-28 00:00:00.000,42.94,61.29,92.93,691.47
2021-12-29 00:00:00.000,53.99,96.93,115.28,811.53
2021-12-30 00:00:00.000,42.03,96.02,138.96,801.72
2021-12-31 00:00:00.000,42.49,84.52,138.51,820.53
2022-01-01 00:00:00.000,41.13,83.62,125.65,830.22
2022-01-02 00:00:00.000,32.46,73.59,116.08,789.78
2022-01-03 00:00:00.000,43.19,75.65,116.78,863.66
2022-01-04 00:00:00.000,37.49,80.68,113.14,784.69
2022-01-05 00:00:00.000,29.5,66.99,110.18,752.03
2022-01-06 00:00:00.000,44.11,73.61,111.1,820.72
2022-01-07 00:00:00.000,20,64.11,93.61,708.09
2022-01-08 00:00:00.000,19.02,39.02,83.13,659
2022-01-09 00:00:00.000,17.8,36.82,56.82,638.22
2022-01-10 00:00:00.000,30.1,47.9,66.92,631.91
2022-01-11 00:00:00.000,49.81,79.91,97.71,691.28
2022-01-12 00:00:00.000,30.26,80.07,110.17,732.03
2022-01-13 00:00:00.000,39.41,69.67,119.48,682.91
2022-01-14 00:00:00.000,24.45,63.86,94.12,729.62
2022-01-15 00:00:00.000,49.52,73.97,113.38,776.5
2022-01-16 00:00:00.000,51.88,101.4,125.85,808.56
2022-01-17 00:00:00.000,46.4,98.28,147.8,824.62
2022-01-18 00:00:00.000,36.36,82.76,134.64,759.03
2022-01-19 00:00:00.000,51.86,88.22,134.62,855.94
2022-01-20 00:00:00.000,46.37,98.23,134.59,805.22
2022-01-21 00:00:00.000,49.75,96.12,147.98,834.62
2022-01-22 00:00:00.000,42.1,91.85,138.22,819.22
2022-01-23 00:00:00.000,41.77,83.87,133.62,809.34
2022-01-24 00:00:00.000,36.52,78.29,120.39,813.75
2022-01-25 00:00:00.000,44.05,80.57,122.34,668.31
2022-01-26 00:00:00.000,23.53,67.58,104.1,120.31
2022-01-27 00:00:00.000,35.87,59.4,103.45,810.81
2022-01-28 00:00:00.000,49.94,85.81,109.34,809.94
2022-01-29 00:00:00.000,43.08,93.02,128.89,835.75
2022-01-30 00:00:00.000,34.78,77.86,127.8,823.22
2022-01-31 00:00:00.000,41.29,76.07,119.15,801.81
2022-02-01 00:00:00.000,28,69.29,104.07,762.12
2022-02-02 00:00:00.000,50.25,78.25,119.54,860.06
2022-02-03 00:00:00.000,33.49,83.74,111.74,842.72
2022-02-04 00:00:00.000,16.26,49.75,100,735.16
2022-02-05 00:00:00.000,27.98,44.24,77.73,664.12
2022-02-06 00:00:00.000,42.13,70.11,86.37,734.88
2022-02-07 00:00:00.000,66,108.13,136.11,690.09
2022-02-08 00:00:00.000,97.13,163.13,205.26,688.16
2022-02-09 00:00:00.000,80.32,177.45,243.45,607.25
2022-02-10 00:00:00.000,59.49,139.81,236.94,627.69
2022-02-11 00:00:00.000,31.45,90.94,171.26,574.12
2022-02-12 00:00:00.000,18.94,50.39,109.88,656.19
2022-02-13 00:00:00.000,25.4,44.34,75.79,591.25
2022-02-14 00:00:00.000,46.31,71.71,90.65,692.84
2022-02-15 00:00:00.000,48.76,95.07,120.47,658.94
2022-02-16 00:00:00.000,49.04,97.8,144.11,650.5
2022-02-17 00:00:00.000,55.76,104.8,153.56,651.09
2022-02-18 00:00:00.000,39.03,94.79,143.83,748.28
2022-02-19 00:00:00.000,33.24,72.27,128.03,665.34
2022-02-20 00:00:00.000,41.1,74.34,113.37,715.03
2022-02-21 00:00:00.000,29.95,71.05,104.29,696.66
2022-02-22 00:00:00.000,45.67,75.62,116.72,787.62
2022-02-23 00:00:00.000,35.47,81.14,111.09,742.84
2022-02-24 00:00:00.000,64.46,99.93,145.6,839.19
2022-02-25 00:00:00.000,48.43,112.89,148.36,575.53
2022-02-26 00:00:00.000,56.69,105.12,169.58,632.84
2022-02-27 00:00:00.000,39.92,96.61,145.04,616.06
2022-02-28 00:00:00.000,30,69.92,126.61,263.75
